Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10
Gene257	3	0	0	0	0	0	2	3	0	0
Gene258	5	16	1	3	1	1	6	6	45	3
Gene259	31	12	35	22	1	5	3	13	4	6
Gene260	7	7	7	1	0	0	2	10	1	0
Gene261	45	30	30	23	10	123	119	100	133	64
Gene262	240	135	158	71	20	37	30	63	28	49
Gene263	23	11	13	1	6	15	11	43	64	13
Gene264	4	0	8	2	0	1	1	1	2	1
Gene265	60	83	101	34	9	45	41	93	93	53
Gene266	35	9	2	2	2	12	11	39	21	8
Gene267	60	72	63	33	9	105	148	224	155	139
Gene268	1	4	1	7	0	2	0	1	0	0
Gene269	2	5	5	6	0	18	1	11	8	9
Gene270	94	48	66	51	6	68	21	30	17	27
Gene271	157	163	76	74	19	33	50	115	40	52
Gene272	49	17	37	16	7	11	21	23	25	13
Gene273	30	28	106	41	5	32	14	43	25	12
Gene274	69	67	29	79	6	16	32	24	25	19
Gene275	134	99	80	55	6	13	7	10	15	14
Gene276	34	8	11	23	4	56	37	59	104	136
Gene277	18	1	18	18	1	13	27	76	49	6
Gene278	18	37	12	2	2	31	38	66	34	0
Gene279	35	40	44	14	8	77	14	71	54	66
Gene280	102	51	67	54	3	70	24	104	65	7
Gene281	19	10	10	3	6	7	27	42	14	52
Gene282	313	185	126	107	36	1536	1051	1307	2821	1204
Gene283	203	220	241	141	10	184	145	171	446	381
Gene284	9	2	23	21	0	25	35	27	28	52
Gene285	8	4	30	24	0	23	13	30	20	7
Gene286	64	17	25	28	9	34	9	69	12	21
Gene287	4	16	23	2	0	5	0	6	0	9
Gene288	30	28	20	36	12	18	24	28	19	17
Gene289	0	2	1	0	0	0	2	3	4	0
Gene290	15	9	19	1	2	14	6	18	18	21
Gene291	31	4	2	4	6	1	5	5	9	4
Gene292	3	25	8	7	0	4	4	3	6	4
Gene293	0	0	2	3	6	1	0	2	0	0
Gene294	53	51	35	58	0	8	3	7	9	8
Gene295	25	22	7	5	0	4	0	3	3	11
Gene296	35	68	27	22	10	47	18	78	21	46
Gene297	16	32	18	27	4	297	705	75	217	471
Gene298	1	1	11	2	0	43	3	10	25	61
Gene299	9	12	6	4	3	2	7	1	9	1
Gene300	26	8	0	10	0	2	1	14	2	0
Gene301	21	6	6	5	3	7	6	3	2	1
Gene302	20	38	22	20	3	2	18	21	10	50
Gene303	55	32	45	31	9	7	3	20	12	14
Gene304	30	2	4	0	3	34	2	10	1	2
Gene305	21	46	62	13	10	72	151	105	162	106
Gene306	39	124	68	29	21	120	8	75	38	95
Gene307	19	17	17	13	5	18	2	29	12	7
Gene308	2	27	25	17	0	75	72	116	118	28
Gene309	29	36	19	13	5	10	1	2	8	2
Gene310	0	1	1	2	0	0	2	0	0	0
Gene311	0	0	1	1	0	0	2	3	0	14
Gene312	50	65	24	67	4	19	13	26	18	5
Gene313	21	6	8	24	0	19	15	13	9	6
Gene314	3	25	0	1	0	3	5	0	10	0
Gene315	14	12	54	9	3	7	3	6	7	7
Gene316	46	19	52	11	5	1	8	7	6	0
Gene317	125	57	55	35	32	44	35	51	91	100
Gene318	4	12	2	12	3	6	5	11	5	6
Gene319	20	30	75	18	5	19	14	21	13	27
Gene320	7	6	6	8	4	0	5	4	4	3
Gene321	0	0	0	0	0	0	1	0	1	0
Gene322	38	11	12	11	14	33	72	99	42	45
Gene323	209	76	198	78	14	214	167	192	195	187
Gene324	68	120	86	53	13	139	80	161	141	158
Gene325	171	203	258	143	36	332	261	609	210	578
Gene326	1	7	24	1	0	0	6	7	6	1
Gene327	3	1	4	0	6	22	36	42	7	56
Gene328	9	11	28	16	0	6	4	2	5	0
Gene329	4	0	1	13	0	10	2	3	5	1
Gene330	0	0	2	1	0	0	0	0	0	0
Gene331	9	18	34	6	0	5	4	3	3	0
Gene332	22	37	12	11	0	3	8	8	4	1
Gene333	8	8	6	0	0	2	0	0	1	1
Gene334	88	69	20	93	11	17	54	49	54	35
Gene335	5	2	4	3	0	23	29	0	20	0
Gene336	4	1	3	1	0	12	1	11	11	2
Gene337	63	123	85	113	19	259	76	224	278	127
Gene338	264	102	196	139	22	118	166	121	223	155
Gene339	8	34	26	11	8	25	41	28	13	19
Gene340	13	36	16	39	13	28	24	52	32	20
Gene341	5	15	21	7	8	11	8	24	10	13
Gene342	19	6	13	3	0	13	17	48	3	27
Gene343	68	88	60	18	13	39	25	35	51	64
Gene344	31	20	5	17	1	5	6	3	18	5
Gene345	17	23	24	9	2	0	0	6	2	1
Gene346	13	14	18	5	0	22	45	23	3	22
Gene347	11	28	19	9	9	87	97	73	162	34
Gene348	0	4	3	9	4	0	4	5	5	0
Gene349	377	77	232	182	30	632	311	826	599	252
Gene350	75	30	97	37	5	51	62	49	90	48
Gene351	32	5	17	14	1	1	1	1	0	0
Gene352	25	56	19	22	3	39	13	43	40	2
Gene353	0	0	0	0	0	3	0	2	0	0
Gene354	26	18	11	5	1	0	0	0	0	3
Gene355	9	30	10	2	9	18	27	49	105	43
Gene356	4	8	0	0	0	7	3	39	2	30
Gene357	0	4	0	18	2	1	7	0	0	2
Gene358	32	18	17	11	6	20	146	55	173	168
Gene359	14	17	14	25	0	2	9	10	2	8
Gene360	4	6	2	10	0	6	1	1	3	2
Gene361	14	18	5	3	0	5	8	14	3	27
Gene362	0	1	1	0	0	0	0	0	0	0
Gene363	18	11	21	11	0	8	1	5	6	10
Gene364	19	4	18	47	2	9	6	9	18	5
Gene365	15	8	23	10	0	7	10	4	16	2
Gene366	12	3	19	9	2	21	4	36	22	33
Gene367	21	8	17	3	0	9	7	27	27	18
Gene368	5	5	3	3	0	3	3	4	1	1
Gene369	6	5	9	14	0	49	12	10	6	25
Gene370	10	73	28	21	26	118	109	71	125	174
Gene371	0	0	0	0	0	0	0	0	2	0
Gene372	68	22	23	16	11	35	32	36	29	11
Gene373	88	105	39	33	7	10	7	10	11	17
Gene374	187	26	39	78	2	215	211	219	273	474
Gene375	66	26	8	30	9	12	5	12	5	4
Gene376	5	3	3	0	0	0	0	0	0	7
Gene377	77	26	30	16	3	28	17	51	62	39
Gene378	0	2	0	0	0	4	1	0	4	0
Gene379	49	21	29	21	0	50	35	51	27	58
Gene380	62	10	47	13	15	160	85	394	182	53
Gene381	5	4	21	23	2	3	22	12	8	12
Gene382	24	32	36	14	0	3	5	8	8	13
Gene383	0	0	0	0	0	1	0	0	5	1
Gene384	12	11	7	19	3	25	39	50	106	35
Gene385	58	20	19	28	4	14	11	7	6	6
Gene386	1	3	1	0	0	0	0	0	0	0
Gene387	18	29	5	11	3	26	6	23	28	5
Gene388	79	27	64	30	12	36	9	42	40	15
Gene389	11	34	37	9	0	10	18	16	22	32
Gene390	13	15	8	17	0	21	21	19	6	27
Gene391	328	342	223	348	64	519	224	306	413	348
Gene392	5	0	2	3	0	7	1	0	1	1
Gene393	14	22	22	17	0	6	3	9	3	11
Gene394	59	57	44	29	8	30	41	46	68	17
Gene395	14	9	7	4	0	2	0	0	3	0
Gene396	32	4	11	5	0	17	42	6	34	13
Gene397	3	4	1	0	7	8	14	15	0	1
Gene398	39	40	35	60	6	4	1	5	3	2
Gene399	15	4	4	17	2	1	4	3	5	1
Gene400	43	38	40	15	2	34	7	34	80	24
Gene401	23	11	15	10	5	28	21	39	21	51
Gene402	67	90	118	156	12	186	204	410	367	328
Gene403	137	40	62	45	7	35	26	53	42	18
Gene404	27	52	12	11	17	76	80	36	16	47
Gene405	1	3	15	2	0	24	1	2	1	6
Gene406	113	68	68	94	14	76	94	78	266	93
Gene407	77	84	123	68	10	64	62	116	181	17
Gene408	12	9	23	0	2	0	3	2	0	2
Gene409	11	5	7	6	2	2	1	1	0	2
Gene410	96	9	40	17	6	14	14	8	34	10
Gene411	5	4	2	1	0	1	1	6	1	4
Gene412	11	2	1	0	5	0	4	9	2	3
Gene413	34	2	7	17	0	35	17	35	10	11
Gene414	1	12	4	0	4	7	7	14	0	1
Gene415	48	76	32	30	13	69	32	80	60	43
Gene416	12	4	2	4	1	2	0	2	3	4
Gene417	31	9	9	14	0	8	7	28	5	11
Gene418	0	1	0	0	0	1	0	0	5	1
Gene419	21	41	6	7	0	17	65	21	120	16
Gene420	17	25	32	30	0	14	2	24	8	3
Gene421	1	0	1	0	0	1	14	35	8	1
Gene422	65	49	114	23	11	53	40	49	28	38
Gene423	28	55	41	75	12	38	61	63	133	26
Gene424	10	1	0	8	1	0	0	20	0	2
Gene425	40	30	82	56	5	8	7	26	19	9
Gene426	8	0	5	2	0	10	5	7	7	4
Gene427	30	32	22	33	7	26	30	36	27	18
Gene428	4	5	0	5	0	2	3	3	0	3
Gene429	1	0	0	0	0	2	0	0	4	0
Gene430	21	53	31	35	2	50	23	42	24	13
Gene431	16	5	30	8	3	21	6	14	30	4
Gene432	32	12	38	9	3	61	30	21	26	24
Gene433	49	34	27	42	15	13	4	7	10	14
Gene434	192	105	111	75	18	48	23	41	59	48
Gene435	4	10	31	10	1	7	7	15	6	9
Gene436	0	8	0	0	1	3	0	2	3	8
Gene437	2	10	6	34	3	26	31	11	35	21
Gene438	5	13	1	9	0	2	2	4	2	1
Gene439	139	276	239	88	33	51	44	113	60	58
Gene440	7	1	1	20	2	6	5	0	4	1
Gene441	17	18	31	4	0	24	30	12	3	5
Gene442	0	0	0	0	0	1	0	0	0	0
Gene443	18	32	6	7	0	3	6	14	9	11
Gene444	3	0	6	2	9	64	102	59	26	24
Gene445	6	2	13	7	3	0	2	1	2	2
Gene446	0	0	1	2	0	13	3	1	3	16
Gene447	895	455	368	519	114	47	139	127	67	86
Gene448	17	9	10	3	0	20	7	16	12	45
Gene449	8	59	13	11	2	21	23	18	40	16
Gene450	45	23	43	29	11	23	13	19	36	12
Gene451	21	8	6	2	0	14	14	3	1	12
Gene452	154	86	122	56	12	422	113	394	210	282
Gene453	7	22	3	19	0	61	159	52	43	70
Gene454	11	16	56	14	3	46	60	56	29	27
Gene455	361	223	202	114	31	111	60	151	88	73
Gene456	48	31	18	8	4	13	28	22	20	11
Gene457	51	36	46	32	11	67	53	68	46	58
Gene458	47	40	1	37	4	68	122	45	96	59
Gene459	19	20	23	14	0	61	4	16	30	14
Gene460	3	24	6	2	0	2	3	42	89	0
Gene461	67	69	54	24	12	23	19	16	25	13
Gene462	19	14	3	0	0	76	45	118	219	24
Gene463	25	5	11	15	2	109	275	406	463	300
Gene464	23	8	21	40	9	44	9	14	40	14
Gene465	208	256	178	128	65	299	189	323	355	193
Gene466	11	27	10	18	1	3	17	18	3	8
Gene467	51	24	21	12	8	53	124	137	83	19
Gene468	90	92	80	86	12	65	82	17	98	62
Gene469	54	10	66	25	6	13	15	25	9	13
Gene470	9	1	3	3	0	51	2	15	41	9
Gene471	12	22	6	0	8	0	5	10	14	4
Gene472	96	74	196	32	8	77	45	168	106	37
Gene473	40	11	11	11	1	38	22	20	48	33
Gene474	62	124	23	43	13	4	13	13	17	5
Gene475	35	34	53	9	5	16	16	8	25	20
Gene476	0	0	0	1	0	0	0	0	1	1
Gene477	1	6	0	0	0	1	0	0	0	1
Gene478	19	25	9	2	0	42	30	41	2	24
Gene479	10	6	14	4	0	6	2	16	16	2
Gene480	5	7	7	15	2	11	13	5	23	13
Gene481	49	82	43	89	17	66	130	92	74	49
Gene482	372	157	204	168	45	150	223	528	610	320
Gene483	33	33	19	28	2	22	36	33	84	46
Gene484	153	166	206	109	18	80	89	91	140	73
Gene485	116	91	47	115	7	133	159	86	96	38
Gene486	23	9	13	13	2	17	6	4	7	17
Gene487	55	30	31	55	25	97	80	297	142	200
Gene488	21	5	14	11	2	2	3	9	2	10
Gene489	38	45	73	20	3	8	29	21	13	30
Gene490	6	1	1	11	0	3	1	0	0	0
Gene491	52	69	140	64	12	110	188	149	147	163
Gene492	23	22	28	6	0	103	43	61	14	42
Gene493	15	17	8	10	1	7	8	10	7	10
Gene494	22	7	6	14	5	35	11	42	6	41
Gene495	74	35	54	17	0	23	68	28	28	25
Gene496	6	22	6	0	2	0	11	4	4	8
Gene497	45	16	17	29	6	90	33	186	73	25
Gene498	36	18	33	38	3	23	33	43	20	58
Gene499	26	13	45	5	1	0	1	3	8	1
Gene500	137	39	55	33	36	151	147	118	141	106
Gene501	5	17	26	1	0	5	12	12	8	6
Gene502	7	22	26	8	0	42	26	4	46	14
Gene503	32	11	14	0	0	0	0	0	1	0
Gene504	25	14	41	26	8	11	8	27	16	9
Gene505	34	26	54	12	0	46	70	50	105	24
Gene506	0	9	0	0	0	0	0	0	0	4
Gene507	17	12	8	8	0	0	0	2	1	1
Gene508	2	5	30	6	12	7	3	8	3	9
Gene509	12	8	5	14	0	0	0	6	0	0
Gene510	7	3	4	11	4	3	23	26	14	10
Gene511	4	6	5	8	0	22	39	27	65	12
Gene512	13	8	3	2	0	2	0	3	1	3
Gene513	58	151	108	53	31	189	181	264	469	371
Gene514	8	2	14	3	5	0	4	17	4	8
Gene515	0	0	9	0	0	3	0	1	0	0
Gene516	0	10	0	0	0	3	12	5	10	0
Gene517	5	15	6	9	0	10	2	3	1	6
Gene518	114	106	181	139	6	223	79	321	314	158
Gene519	57	52	34	12	0	44	30	31	11	12
Gene520	3	1	4	0	0	2	13	14	7	2
Gene521	22	12	14	13	0	14	4	6	8	8
Gene522	13	1	3	10	0	0	0	0	0	0
Gene523	139	37	31	71	4	31	16	51	24	20
Gene524	2	23	12	25	0	6	4	4	3	9
Gene525	1	1	21	2	0	3	2	9	11	25
Gene526	22	31	36	32	3	92	27	99	66	110
Gene527	7	1	4	1	0	18	29	63	114	132
Gene528	23	25	42	26	5	21	6	7	4	4
Gene529	7	16	3	12	0	8	1	1	2	6
Gene530	1	6	13	0	0	3	0	2	4	1
Gene531	44	50	31	12	9	233	181	360	310	142
Gene532	25	39	9	19	5	0	12	6	13	18
Gene533	15	15	16	15	0	8	1	7	2	3
Gene534	8	2	0	21	0	0	7	0	1	1
Gene535	4	4	0	2	0	11	2	3	2	0
Gene536	161	191	60	149	28	156	219	174	159	36
Gene537	12	25	6	30	1	35	7	11	17	13
Gene538	2	0	0	0	0	1	0	0	1	1
Gene539	69	95	44	43	5	222	319	194	255	249
Gene540	32	30	100	40	16	50	30	21	30	56
Gene541	0	4	0	0	0	0	0	0	0	0
Gene542	14	5	11	12	4	7	7	5	44	10
Gene543	10	6	2	5	0	1	1	4	1	1
Gene544	11	41	9	11	1	6	21	8	18	12
Gene545	20	31	60	43	22	7	8	24	18	4
Gene546	0	1	0	0	0	0	0	0	0	1
Gene547	0	5	0	3	0	1	3	2	2	0
Gene548	52	46	27	61	14	1	3	11	11	16
Gene549	7	6	8	7	1	2	4	10	4	7
Gene550	4	0	8	7	4	1	2	8	11	4
Gene551	4	2	6	10	8	15	2	1	12	4
Gene552	23	11	18	5	0	27	100	148	132	108
Gene553	196	240	186	90	50	273	239	273	349	158
Gene554	27	37	47	28	9	4	26	36	17	39
Gene555	15	7	8	2	6	1	2	5	2	7
